Rank	Team	Power Rating	Gender Division	Competition Division	City	State	Club Region	Club Section	Wins	Losses
1	Rhino Slam!	2123	Men	Pro	Portland	OR	Northwest	Oregon	25	7
2	Revolver	2088	Men	Pro	San Francisco	CA	Southwest	NorCal	20	7
3	DiG	2087	Men	Pro	Boston	MA	Northeast	East New England	20	8
4	PoNY	2080	Men	Pro	New York	NY	Northeast	Metro NY	16	7
5	Chicago Machine	2073	Men	Pro	Chicago	IL	Great Lakes	Central Plains	23	5
6	Truck Stop	2012	Men	Pro	Washington	DC	Mid-Atlantic	Capital	17	8
7	Ring of Fire	1998	Men	Pro	Raleigh	NC	Southeast	North Carolina	19	9
8	Chain Lightning	1990	Men	Elite	Atlanta	GA	Southeast	East Coast	19	12
9	Johnny Bravo	1965	Men	Pro	Colorado	CO	South Central	Rocky Mountain	13	7
10	Sockeye	1958	Men	Top Select	Seattle	WA	Northwest	Washington/BC	26	8
11	Mephisto	1819	Men	Classic	Montreal	Quebec	Northeast	West New England	11	4
12	Furious George	1814	Men	Elite	Vancouver	British Columbia	Northwest	Washington/BC	15	10
13	GOAT	1798	Men	Select	Toronto	Ontario	Northeast	Upstate NY	23	9
14	Doublewide	1776	Men	Elite	Austin	TX	South Central	Texas	16	8
15	Sprout	1706	Men	Top Select	Amherst	MA	Northeast	West New England	19	9
16	Raleigh-Durham United	1689	Men	Elite	Raleigh	NC	Southeast	North Carolina	12	14
17	Vault	1658	Men	Elite	Hampton	VA	Mid-Atlantic	Capital	11	7
18	Mallard	1630	Men	Top Select	Minneapolis	MN	North Central	Northwest Plains	23	13
19	Mad Men	1630	Men	Select	Madison	WI	North Central	Northwest Plains	21	7
20	Dark Star	1619	Men	Elite	Eugene	OR	Northwest	Oregon	14	11
21	Sub Zero	1619	Men	Elite	Minneapolis	MN	North Central	Northwest Plains	11	7
22	SoCal Condors	1611	Men	Select	Calico	CA	Southwest	So Cal	20	9
23	Ghostbusters	1602	Men	 	Philadelphia	PA	Mid-Atlantic	Founders	13	4
24	Shrimp	1591	Men	Classic	Salt Lake	UT	Northwest	Big Sky	20	9
25	Phoenix	1584	Men	Select	Ottawa, ON	Ontario	Northeast	Upstate NY	15	10
26	Garden State Ultimate	1532	Men	Top Select	New Brunswick	NJ	Mid-Atlantic	Founders	18	12
27	Fungi	1531	Men	Classic	Denver	CO	South Central	Rocky Mountain	24	4
28	Red Tide	1529	Men	Select	Portland	ME	Northeast	East New England	19	4
29	Blueprint	1520	Men	Elite	New York	NY	Northeast	Metro NY	14	10
30	Lounar	1496	Men	Classic	St. Louis	MO	North Central	West Plains	20	9
31	Boneyard	1490	Men	Division I	Triangle	NC	Southeast	North Carolina	9	4
32	Bonneville Flatball Club	1489	Men	Classic	Shoreline Trail	UT	Northwest	Big Sky	7	4
33	Pittsburgh Temper	1484	Men	Classic	Pittsburgh	PA	Mid-Atlantic	Founders	20	10
34	Flying Dutchmen	1467	Men	Classic	Columbus	OH	Great Lakes	East Plains	27	5
35	Scoop	1449	Men	Select	Boston	MA	Northeast	East New England	11	12
36	Cash Crop 2	1420	Men	Top Select	Chapel Hill	NC	Southeast	North Carolina	19	6
37	Beacon	1416	Men	Top Select	Grand Rapids	MI	Great Lakes	East Plains	18	11
38	Shade	1410	Men	Classic	New York	NY	Northeast	Metro NY	23	7
39	Oak Grove Boys	1397	Men	Select	ARLINGTON	VA	Mid-Atlantic	Capital	16	14
40	Phantom	1392	Men	Select	Philadelphia	PA	Mid-Atlantic	Founders	18	13
41	Red Circus	1377	Men	 	Halifax	Nova Scotia	Northeast	East New England	13	7
42	Colonels	1371	Men	Select	Louisville	KY	Great Lakes	East Plains	12	11
43	Omen	1369	Men	Select	Cincinnati	OH	Great Lakes	East Plains	15	15
44	Switchback	1362	Men	Select	Seattle	WA	Northwest	Washington/BC	19	17
45	I-69	1352	Men	Classic	Indianapolis	IN	Great Lakes	Central Plains	26	5
46	Trident	1345	Men	Select	Chicago	IL	Great Lakes	Central Plains	15	14
47	Alamode	1336	Men	Select	San Antonio	TX	South Central	Texas	19	12
48	Florida Untied	1334	Men	 	Ocala	FL	Southeast	Florida	16	8
